id,customer_code,customer_name,segment,value_tier,country
1,C12347,客户_12347,批发型,高价值,United Kingdom
2,C12348,客户_12348,批发型,高价值,United Kingdom
3,C12349,客户_12349,批发型,中价值,United Kingdom
4,C12350,客户_12350,批发型,低价值,United Kingdom
5,C12352,客户_12352,零售型,高价值,United Kingdom
6,C12354,客户_12354,零售型,中价值,United Kingdom
7,C12355,客户_12355,批发型,低价值,United Kingdom
8,C12356,客户_12356,批发型,高价值,United Kingdom
9,C12357,客户_12357,批发型,高价值,United Kingdom
10,C12358,客户_12358,批发型,低价值,United Kingdom
11,C12359,客户_12359,批发型,高价值,United Kingdom
12,C12360,客户_12360,批发型,高价值,United Kingdom
13,C12361,客户_12361,批发型,低价值,United Kingdom
14,C12362,客户_12362,批发型,高价值,United Kingdom
15,C12363,客户_12363,批发型,低价值,United Kingdom
16,C12364,客户_12364,批发型,高价值,United Kingdom
17,C12365,客户_12365,零售型,低价值,United Kingdom
18,C12370,客户_12370,批发型,高价值,United Kingdom
19,C12371,客户_12371,批发型,高价值,United Kingdom
20,C12372,客户_12372,批发型,中价值,United Kingdom
21,C12373,客户_12373,批发型,中价值,United Kingdom
22,C12374,客户_12374,批发型,中价值,United Kingdom
23,C12375,客户_12375,批发型,中价值,United Kingdom
24,C12377,客户_12377,批发型,高价值,United Kingdom
25,C12378,客户_12378,批发型,高价值,United Kingdom
26,C12379,客户_12379,零售型,中价值,United Kingdom
27,C12380,客户_12380,批发型,高价值,United Kingdom
28,C12381,客户_12381,批发型,高价值,United Kingdom
29,C12383,客户_12383,批发型,高价值,United Kingdom
30,C12384,客户_12384,零售型,中价值,United Kingdom
31,C12386,客户_12386,批发型,中价值,United Kingdom
32,C12388,客户_12388,批发型,高价值,United Kingdom
33,C12390,客户_12390,批发型,中价值,United Kingdom
34,C12391,客户_12391,零售型,低价值,United Kingdom
35,C12393,客户_12393,批发型,高价值,United Kingdom
36,C12394,客户_12394,批发型,低价值,United Kingdom
37,C12395,客户_12395,批发型,高价值,United Kingdom
38,C12397,客户_12397,批发型,高价值,United Kingdom
39,C12398,客户_12398,批发型,高价值,United Kingdom
40,C12399,客户_12399,批发型,中价值,United Kingdom
41,C12402,客户_12402,批发型,低价值,United Kingdom
42,C12403,客户_12403,批发型,高价值,United Kingdom
43,C12405,客户_12405,批发型,中价值,United Kingdom
44,C12406,客户_12406,批发型,高价值,United Kingdom
45,C12407,客户_12407,批发型,高价值,United Kingdom
46,C12408,客户_12408,批发型,高价值,United Kingdom
47,C12409,客户_12409,批发型,高价值,United Kingdom
48,C12410,客户_12410,零售型,中价值,United Kingdom
49,C12412,客户_12412,批发型,高价值,United Kingdom
50,C12413,客户_12413,批发型,低价值,United Kingdom
51,C12414,客户_12414,批发型,中价值,United Kingdom
52,C12415,客户_12415,批发型,高价值,United Kingdom
53,C12417,客户_12417,批发型,高价值,United Kingdom
54,C12418,客户_12418,批发型,中价值,United Kingdom
55,C12420,客户_12420,批发型,中价值,United Kingdom
56,C12421,客户_12421,批发型,中价值,United Kingdom
57,C12422,客户_12422,批发型,中价值,United Kingdom
58,C12423,客户_12423,批发型,高价值,United Kingdom
59,C12424,客户_12424,批发型,中价值,United Kingdom
60,C12425,客户_12425,批发型,中价值,United Kingdom
61,C12426,客户_12426,批发型,中价值,United Kingdom
62,C12427,客户_12427,批发型,中价值,United Kingdom
63,C12428,客户_12428,批发型,高价值,United Kingdom
64,C12429,客户_12429,批发型,高价值,United Kingdom
65,C12430,客户_12430,批发型,低价值,United Kingdom
66,C12431,客户_12431,批发型,高价值,United Kingdom
67,C12432,客户_12432,批发型,高价值,United Kingdom
68,C12433,客户_12433,批发型,高价值,United Kingdom
69,C12434,客户_12434,批发型,低价值,United Kingdom
70,C12435,客户_12435,批发型,高价值,United Kingdom
71,C12436,客户_12436,批发型,中价值,United Kingdom
72,C12437,客户_12437,批发型,高价值,United Kingdom
73,C12438,客户_12438,批发型,中价值,United Kingdom
74,C12441,客户_12441,批发型,低价值,United Kingdom
75,C12442,客户_12442,批发型,中价值,United Kingdom
76,C12444,客户_12444,批发型,高价值,United Kingdom
77,C12445,客户_12445,批发型,低价值,United Kingdom
78,C12446,客户_12446,批发型,低价值,United Kingdom
79,C12447,客户_12447,批发型,中价值,United Kingdom
80,C12449,客户_12449,批发型,高价值,United Kingdom
81,C12450,客户_12450,批发型,低价值,United Kingdom
82,C12451,客户_12451,批发型,高价值,United Kingdom
83,C12452,客户_12452,批发型,中价值,United Kingdom
84,C12453,客户_12453,批发型,中价值,United Kingdom
85,C12455,客户_12455,批发型,高价值,United Kingdom
86,C12456,客户_12456,批发型,高价值,United Kingdom
87,C12457,客户_12457,批发型,高价值,United Kingdom
88,C12458,客户_12458,批发型,低价值,United Kingdom
89,C12461,客户_12461,批发型,中价值,United Kingdom
90,C12462,客户_12462,零售型,中价值,United Kingdom
91,C12463,客户_12463,批发型,中价值,United Kingdom
92,C12464,客户_12464,零售型,高价值,United Kingdom
93,C12465,客户_12465,批发型,高价值,United Kingdom
94,C12468,客户_12468,批发型,低价值,United Kingdom
95,C12471,客户_12471,批发型,高价值,United Kingdom
96,C12472,客户_12472,批发型,高价值,United Kingdom
97,C12473,客户_12473,批发型,高价值,United Kingdom
98,C12474,客户_12474,批发型,高价值,United Kingdom
99,C12475,客户_12475,批发型,低价值,United Kingdom
100,C12476,客户_12476,批发型,高价值,United Kingdom
101,C12477,客户_12477,批发型,高价值,United Kingdom
102,C12478,客户_12478,零售型,中价值,United Kingdom
103,C12479,客户_12479,批发型,中价值,United Kingdom
104,C12480,客户_12480,批发型,高价值,United Kingdom
105,C12481,客户_12481,批发型,高价值,United Kingdom
106,C12483,客户_12483,批发型,高价值,United Kingdom
107,C12484,客户_12484,零售型,高价值,United Kingdom
108,C12488,客户_12488,批发型,中价值,United Kingdom
109,C12489,客户_12489,批发型,中价值,United Kingdom
110,C12490,客户_12490,批发型,高价值,United Kingdom
111,C12491,客户_12491,批发型,中价值,United Kingdom
112,C12493,客户_12493,批发型,中价值,United Kingdom
113,C12494,客户_12494,零售型,中价值,United Kingdom
114,C12497,客户_12497,批发型,中价值,United Kingdom
115,C12498,客户_12498,零售型,低价值,United Kingdom
116,C12500,客户_12500,零售型,低价值,United Kingdom
117,C12501,客户_12501,批发型,高价值,United Kingdom
118,C12502,客户_12502,零售型,高价值,United Kingdom
119,C12504,客户_12504,零售型,高价值,United Kingdom
120,C12506,客户_12506,零售型,低价值,United Kingdom
121,C12507,客户_12507,批发型,中价值,United Kingdom
122,C12508,客户_12508,零售型,低价值,United Kingdom
123,C12509,客户_12509,批发型,低价值,United Kingdom
124,C12510,客户_12510,批发型,高价值,United Kingdom
125,C12512,客户_12512,零售型,低价值,United Kingdom
126,C12513,客户_12513,批发型,中价值,United Kingdom
127,C12514,客户_12514,批发型,中价值,United Kingdom
128,C12515,客户_12515,批发型,中价值,United Kingdom
129,C12516,客户_12516,零售型,中价值,United Kingdom
130,C12517,客户_12517,零售型,高价值,United Kingdom
131,C12518,客户_12518,批发型,高价值,United Kingdom
132,C12519,客户_12519,批发型,中价值,United Kingdom
133,C12520,客户_12520,批发型,高价值,United Kingdom
134,C12521,客户_12521,批发型,中价值,United Kingdom
135,C12522,客户_12522,零售型,低价值,United Kingdom
136,C12523,客户_12523,零售型,高价值,United Kingdom
137,C12524,客户_12524,批发型,高价值,United Kingdom
138,C12526,客户_12526,批发型,高价值,United Kingdom
139,C12527,客户_12527,批发型,高价值,United Kingdom
140,C12528,客户_12528,零售型,高价值,United Kingdom
141,C12530,客户_12530,批发型,高价值,United Kingdom
