id,product_code,product_name,category,price_band,unit_price
1,10002,INFLATABLE POLITICAL GLOBE ,其他,低价格带,0.85
2,10080,GROOVY CACTUS INFLATABLE,其他,低价格带,0.39
3,10120,DOGGY RUBBER,其他,低价格带,0.21
4,10124A,SPOTS ON RED BOOKCOVER TAPE,文具礼品,低价格带,0.42
5,10125,MINI FUNKY DESIGN TAPES,其他,低价格带,0.85
6,10133,COLOURING PENCILS BROWN TUBE,文具礼品,低价格带,0.42
7,10135,COLOURING PENCILS BROWN TUBE,文具礼品,低价格带,1.25
8,11001,ASSTD DESIGN RACING CAR PEN,其他,中价格带,1.69
9,15034,PAPER POCKET TRAVELING FAN ,其他,低价格带,0.14
10,15036,ASSORTED COLOURS SILK FAN,其他,低价格带,0.83
11,15039,SANDALWOOD FAN,其他,低价格带,0.85
12,15044A,PINK PAPER PARASOL ,园艺户外,中价格带,2.95
13,15044B,BLUE PAPER PARASOL ,园艺户外,中价格带,2.95
14,15044C,PURPLE PAPER PARASOL,园艺户外,中价格带,2.95
15,15044D,RED PAPER PARASOL,园艺户外,中价格带,2.95
16,15056BL,EDWARDIAN PARASOL BLACK,园艺户外,高价格带,5.95
17,15056N,EDWARDIAN PARASOL NATURAL,园艺户外,高价格带,5.95
18,15056P,EDWARDIAN PARASOL PINK,园艺户外,高价格带,5.95
19,15058A,BLUE POLKADOT GARDEN PARASOL,园艺户外,高价格带,7.95
20,15058B,PINK POLKADOT GARDEN PARASOL,园艺户外,高价格带,7.95
21,15058C,ICE CREAM DESIGN GARDEN PARASOL,园艺户外,高价格带,7.95
22,15060B,FAIRY CAKE DESIGN UMBRELLA,服饰配饰,高价格带,3.75
23,16008,SMALL FOLDING SCISSOR(POINTED EDGE),其他,低价格带,0.12
24,16011,ANIMAL STICKERS,家居装饰,低价格带,0.21
25,16012,FOOD/DRINK SPONGE STICKERS,卫浴清洁,低价格带,0.21
26,16014,SMALL CHINESE STYLE SCISSOR,其他,低价格带,0.42
27,16015,MEDIUM CHINESE STYLE SCISSOR,其他,低价格带,0.5
28,16016,LARGE CHINESE STYLE SCISSOR,其他,低价格带,0.85
29,16020C,CLEAR STATIONERY BOX SET ,收纳储物,低价格带,0.85
30,16045,POPART WOODEN PENCILS ASST,文具礼品,低价格带,0.04
31,16046,TEATIME PEN CASE & PENS,其他,低价格带,0.85
32,16048,TEATIME ROUND PENCIL SHARPENER ,文具礼品,低价格带,0.12
33,16052,TEATIME PUSH DOWN RUBBER,其他,低价格带,0.19
34,16054,POPART RECT PENCIL SHARPENER ASST,文具礼品,低价格带,0.12
35,16156S,WRAP PINK FAIRY CAKES ,文具礼品,低价格带,0.42
