id,order_no,order_date,customer_id,product_id,quantity,unit_price,revenue,profit
1,536368,2025-08-23,482,1611,3,4.95,14.85,4.46
2,536370,2025-08-23,176,650,12,0.85,10.2,4.59
3,536373,2025-08-23,3518,271,6,1.06,6.36,2.42
4,536373,2025-08-23,3518,1473,2,7.65,15.3,5.36
5,536374,2025-08-23,1776,382,32,10.95,350.4,122.64
6,536375,2025-08-23,3518,2297,6,1.06,6.36,2.42
7,536375,2025-08-23,3518,108,6,4.95,29.7,9.8
8,536378,2025-08-23,1510,2767,24,0.55,13.2,3.96
9,536378,2025-08-23,1510,2588,6,2.95,17.7,5.31
10,536381,2025-08-23,1911,2693,1,0.85,0.85,0.36
11,536381,2025-08-23,1911,1492,24,1.25,30.0,10.5
12,536381,2025-08-23,1911,2299,1,2.95,2.95,1.12
13,536381,2025-08-23,1911,2509,2,2.1,4.2,1.89
14,536381,2025-08-23,1911,949,1,2.95,2.95,0.88
15,536381,2025-08-23,1911,1363,1,2.55,2.55,0.76
16,536386,2025-08-23,2377,2714,36,4.95,178.2,53.46
17,536388,2025-08-23,2525,1614,12,0.42,5.04,1.92
18,536389,2025-08-23,66,576,8,4.95,39.6,15.84
19,536390,2025-08-23,3310,1660,48,0.72,34.56,12.1
20,536390,2025-08-23,3310,1667,96,1.25,120.0,50.4
21,536390,2025-08-23,3310,1658,12,3.75,45.0,15.75
22,536392,2025-08-23,885,908,12,1.25,15.0,4.5
23,536392,2025-08-23,885,927,6,1.95,11.7,3.51
24,536392,2025-08-23,885,1541,1,165.0,165.0,57.75
25,536394,2025-08-23,697,1574,96,1.85,177.6,44.4
26,536394,2025-08-23,697,1286,48,1.25,60.0,18.0
27,536394,2025-08-23,697,1376,20,1.65,33.0,9.9
28,536395,2025-08-23,927,2713,32,1.69,54.08,24.34
29,536396,2025-08-23,3518,728,6,1.06,6.36,2.42
30,536396,2025-08-23,3518,2409,6,3.39,20.34,8.54
31,536398,2025-08-23,720,895,9,4.95,44.55,16.93
32,536398,2025-08-23,720,1574,12,2.1,25.2,6.3
33,536398,2025-08-23,720,797,24,0.29,6.96,2.09
34,536398,2025-08-23,720,368,12,1.25,15.0,5.25
35,536399,2025-08-23,3518,1359,6,1.85,11.1,2.78
36,536401,2025-08-23,2275,566,1,1.25,1.25,0.44
37,536401,2025-08-23,2275,1524,1,2.95,2.95,1.24
38,536401,2025-08-23,2275,1487,1,9.95,9.95,4.48
39,536401,2025-08-23,2275,2388,1,7.95,7.95,3.58
40,536401,2025-08-23,2275,233,9,0.85,7.65,3.06
41,536401,2025-08-23,2275,214,3,1.25,3.75,0.94
42,536401,2025-08-23,2275,2650,1,5.95,5.95,2.98
43,536401,2025-08-23,2275,2819,2,1.25,2.5,1.0
44,536401,2025-08-23,2275,563,2,2.55,5.1,1.53
45,536401,2025-08-23,2275,1559,1,16.95,16.95,5.08
46,536402,2025-08-23,2042,1609,40,2.55,102.0,40.8
47,536404,2025-08-23,2503,1205,12,1.65,19.8,8.91
48,536404,2025-08-23,2503,1520,12,1.25,15.0,5.25
49,536406,2025-08-23,3518,271,6,1.06,6.36,2.42
50,536406,2025-08-23,3518,2297,6,1.06,6.36,2.42
51,536408,2025-08-23,1267,713,12,1.65,19.8,5.94
52,536408,2025-08-23,1267,544,12,0.85,10.2,3.06
53,536408,2025-08-23,1267,1157,24,0.85,20.4,6.12
54,536408,2025-08-23,1267,1268,24,0.42,10.08,3.02
55,536409,2025-08-23,3561,1262,1,0.42,0.42,0.13
56,536409,2025-08-23,3561,797,12,0.29,3.48,1.04
57,536409,2025-08-23,3561,1386,1,2.1,2.1,0.63
58,536409,2025-08-23,3561,1670,1,1.65,1.65,0.63
59,536409,2025-08-23,3561,970,1,1.65,1.65,0.49
60,536409,2025-08-23,3561,1575,1,2.1,2.1,0.52
61,536412,2025-08-23,3568,374,1,1.69,1.69,0.64
62,536412,2025-08-23,3568,1296,3,3.75,11.25,5.06
63,536412,2025-08-23,3568,1639,3,4.25,12.75,3.82
64,536412,2025-08-23,3568,636,1,4.95,4.95,2.48
65,536412,2025-08-23,3568,1666,4,9.95,39.8,13.93
66,536412,2025-08-23,3568,1080,1,2.95,2.95,1.03
67,536412,2025-08-23,3568,636,1,4.95,4.95,2.48
68,536412,2025-08-23,3568,1685,6,1.25,7.5,2.85
69,536412,2025-08-23,3568,2819,12,1.25,15.0,6.0
70,536412,2025-08-23,3568,1030,2,2.95,5.9,1.77
71,536415,2025-08-23,356,926,4,2.1,8.4,2.77
72,536415,2025-08-23,356,803,12,0.29,3.48,1.04
73,536415,2025-08-23,356,1470,2,3.75,7.5,2.25
74,536415,2025-08-23,356,958,5,2.95,14.75,5.9
75,536415,2025-08-23,356,1600,3,2.95,8.85,3.36
76,536415,2025-08-23,356,1457,3,1.65,4.95,1.48
77,536415,2025-08-23,356,1609,5,2.95,14.75,5.9
78,536416,2025-08-23,605,2506,6,2.95,17.7,7.96
79,536416,2025-08-23,605,1637,12,1.95,23.4,8.89
80,536420,2025-08-23,2727,746,12,1.25,15.0,5.7
81,536420,2025-08-23,2727,743,12,1.25,15.0,5.25
82,536423,2025-08-23,3666,896,8,3.75,30.0,11.4
83,536425,2025-08-23,920,1363,12,2.55,30.6,9.18
84,536437,2025-08-23,879,63,600,0.24,144.0,43.2
85,536446,2025-08-23,2345,2557,12,2.55,30.6,12.85
86,536446,2025-08-23,2345,2662,24,1.25,30.0,15.0
87,536446,2025-08-23,2345,2893,24,1.25,30.0,12.6
88,536446,2025-08-23,2345,1346,6,1.25,7.5,2.25
89,536446,2025-08-23,2345,745,2,1.25,2.5,0.75
90,536446,2025-08-23,2345,160,2,1.65,3.3,1.32
91,536460,2025-08-23,1612,1392,12,1.25,15.0,4.5
92,536464,2025-08-23,3596,1651,2,0.55,1.1,0.44
93,536464,2025-08-23,3596,1465,2,2.95,5.9,2.36
94,536464,2025-08-23,3596,1525,1,2.95,2.95,1.24
95,536464,2025-08-23,3596,1480,1,1.65,1.65,0.66
96,536464,2025-08-23,3596,201,1,1.25,1.25,0.52
97,536464,2025-08-23,3596,797,1,0.29,0.29,0.09
98,536477,2025-08-23,2496,828,48,2.1,100.8,45.36
99,536477,2025-08-23,2496,1358,12,2.1,25.2,6.3
100,536488,2025-08-23,3553,441,2,6.35,12.7,5.72
101,536488,2025-08-23,3553,438,1,2.55,2.55,1.15
102,536514,2025-08-23,3585,1522,6,2.95,17.7,7.43
103,536514,2025-08-23,3585,1220,4,12.75,51.0,15.3
104,536520,2025-08-23,1538,1205,2,1.65,3.3,1.48
105,536520,2025-08-23,1538,301,1,1.25,1.25,0.52
106,536520,2025-08-23,1538,929,12,0.42,5.04,1.51
107,536520,2025-08-23,1538,141,1,2.1,2.1,1.05
108,536520,2025-08-23,1538,1368,4,2.55,10.2,5.1
109,536520,2025-08-23,1538,1205,1,1.65,1.65,0.74
110,536522,2025-08-23,1710,1294,1,0.85,0.85,0.26
111,536522,2025-08-23,1710,219,1,1.25,1.25,0.44
112,536522,2025-08-23,1710,2603,1,5.95,5.95,1.78
113,536522,2025-08-23,1710,605,2,3.75,7.5,2.62
114,536522,2025-08-23,1710,2843,1,1.95,1.95,0.98
115,536522,2025-08-23,1710,2694,2,1.25,2.5,1.12
116,536522,2025-08-23,1710,605,1,3.75,3.75,1.31
117,536523,2025-08-23,376,992,24,0.65,15.6,7.02
118,536524,2025-08-23,3347,1419,6,2.95,17.7,6.73
119,536525,2025-08-23,1123,416,2,2.95,5.9,2.48
120,536525,2025-08-23,1123,220,2,0.65,1.3,0.52
121,536525,2025-08-23,1123,1167,1,6.95,6.95,2.08
122,536527,2025-08-23,238,2741,12,0.85,10.2,4.28
123,536527,2025-08-23,238,3072,1,18.0,18.0,7.2
124,536527,2025-08-23,238,122,10,1.95,19.5,9.75
125,536527,2025-08-23,238,1002,12,1.65,19.8,8.91
126,536528,2025-08-23,2050,2763,1,1.45,1.45,0.44
127,536528,2025-08-23,2050,1162,1,12.75,12.75,3.82
128,536528,2025-08-23,2050,1610,1,2.95,2.95,0.88
129,536530,2025-08-23,3559,1642,2,4.95,9.9,4.16
130,536530,2025-08-23,3559,1501,1,19.95,19.95,6.98
131,536530,2025-08-23,3559,957,4,1.65,6.6,1.98
132,536531,2025-08-23,2024,16,12,5.95,71.4,23.56
133,536531,2025-08-23,2024,836,25,0.42,10.5,4.2
134,536531,2025-08-23,2024,521,25,0.42,10.5,4.2
135,536532,2025-08-23,68,355,24,0.55,13.2,3.96
136,536532,2025-08-23,68,1340,48,0.29,13.92,4.18
137,536532,2025-08-23,68,1276,24,0.42,10.08,3.02
138,536532,2025-08-23,68,1358,12,2.1,25.2,6.3
139,536532,2025-08-23,68,1280,24,1.65,39.6,11.88
140,536532,2025-08-23,68,1273,24,0.42,10.08,3.02
141,536532,2025-08-23,68,1659,24,1.45,34.8,10.44
142,536532,2025-08-23,68,799,48,0.29,13.92,4.18
143,536533,2025-08-23,2974,1512,3,16.95,50.85,17.8
144,536534,2025-08-23,1936,1546,12,2.1,25.2,6.3
145,536537,2025-08-23,2312,198,36,1.25,45.0,20.25
146,536538,2025-08-23,1453,1206,2,2.95,5.9,2.66
147,536538,2025-08-23,1453,508,1,3.75,3.75,1.12
148,536538,2025-08-23,1453,2388,1,7.95,7.95,3.58
149,536538,2025-08-23,1453,625,4,3.75,15.0,5.25
150,536540,2025-08-23,1654,924,12,1.45,17.4,7.83
151,536540,2025-08-23,1654,2876,2,7.95,15.9,4.77
152,536542,2025-08-23,2652,123,30,1.95,58.5,29.25
153,536551,2025-08-23,3202,566,2,1.25,2.5,0.88
154,536551,2025-08-23,3202,2756,2,0.85,1.7,0.71
155,536557,2025-08-23,3514,86,2,2.1,4.2,1.26
156,536557,2025-08-23,3514,219,2,1.25,2.5,0.88
157,536557,2025-08-23,3514,1548,5,4.65,23.25,8.84
158,536557,2025-08-23,3514,828,4,2.55,10.2,4.59
159,536557,2025-08-23,3514,1451,1,3.75,3.75,1.69
160,536557,2025-08-23,3514,1640,1,8.5,8.5,3.57
161,536557,2025-08-23,3514,2945,1,4.95,4.95,1.48
162,536557,2025-08-23,3514,897,1,3.95,3.95,1.5
163,536559,2025-08-23,3537,1115,10,6.75,67.5,30.38
164,536560,2025-08-23,510,2388,10,6.75,67.5,30.38
165,536561,2025-08-23,404,1071,6,2.95,17.7,7.96
166,536561,2025-08-23,404,1031,6,2.95,17.7,5.31
167,536561,2025-08-23,404,654,12,1.65,19.8,8.32
168,536562,2025-08-23,732,567,6,2.95,17.7,7.43
169,536566,2025-08-23,2954,1520,9,1.25,11.25,3.94
170,536566,2025-08-23,2954,1492,36,1.25,45.0,15.75
171,536569,2025-08-23,2538,945,1,8.5,8.5,3.82
172,536569,2025-08-23,2538,1364,1,2.55,2.55,1.27
173,536569,2025-08-23,2538,243,2,0.85,1.7,0.6
174,536569,2025-08-23,2538,1228,1,1.25,1.25,0.38
175,536569,2025-08-23,2538,1348,1,9.95,9.95,3.48
176,536569,2025-08-23,2538,894,1,4.95,4.95,1.88
177,536569,2025-08-23,2538,2945,1,4.95,4.95,1.48
178,536569,2025-08-23,2538,241,2,0.85,1.7,0.76
179,536571,2025-08-23,1515,425,2,6.75,13.5,4.05
180,536572,2025-08-23,2704,696,12,1.25,15.0,6.75
181,536572,2025-08-23,2704,1317,6,2.55,15.3,6.12
182,536575,2025-08-23,932,2843,70,1.65,115.5,57.75
183,536576,2025-08-23,932,2240,120,4.65,558.0,167.4
184,536577,2025-08-23,932,924,40,1.25,50.0,22.5
185,536578,2025-08-23,3425,1450,4,3.75,15.0,6.75
186,536578,2025-08-23,3425,1447,4,3.75,15.0,6.75
187,536578,2025-08-23,3425,1574,24,2.1,50.4,12.6
188,536578,2025-08-23,3425,1546,24,2.1,50.4,12.6
189,536582,2025-08-23,422,1360,2,9.95,19.9,5.97
190,536582,2025-08-23,422,814,12,0.42,5.04,2.02
191,536584,2025-08-23,932,2526,384,2.95,1132.8,509.76
192,536588,2025-08-23,3038,1389,12,2.95,35.4,13.45
193,536590,2025-08-23,491,895,3,4.95,14.85,5.64
194,536591,2025-08-23,1459,742,1,3.75,3.75,1.12
195,536591,2025-08-23,1459,3066,1,1.25,1.25,0.5
196,536591,2025-08-23,1459,583,1,7.95,7.95,3.18
