id,cattle_code,breed,parity,barn,farm_id
1,F001-C0001,荷斯坦,1,牛舍C,1
2,F001-C0002,荷斯坦,3,牛舍F,1
3,F001-C0003,娟姗,1,牛舍D,1
4,F001-C0004,荷斯坦,1,牛舍E,1
5,F001-C0005,荷斯坦,1,牛舍F,1
6,F001-C0006,荷斯坦,1,牛舍E,1
7,F001-C0007,西门塔尔,1,牛舍B,1
8,F001-C0008,荷斯坦,2,牛舍B,1
9,F001-C0009,荷斯坦,1,牛舍A,1
10,F001-C0010,西门塔尔,3,牛舍A,1
11,F001-C0011,荷斯坦,1,牛舍D,1
12,F001-C0012,荷斯坦,4,牛舍E,1
13,F001-C0013,荷斯坦,1,牛舍A,1
14,F001-C0014,荷斯坦,3,牛舍A,1
15,F001-C0015,荷斯坦,1,牛舍C,1
16,F001-C0016,荷斯坦,2,牛舍C,1
17,F001-C0017,荷斯坦,2,牛舍F,1
18,F001-C0018,荷斯坦,3,牛舍E,1
19,F001-C0019,荷斯坦,2,牛舍C,1
20,F001-C0020,荷斯坦,1,牛舍C,1
21,F001-C0021,西门塔尔,1,牛舍A,1
22,F001-C0022,荷斯坦,2,牛舍B,1
23,F001-C0023,娟姗,2,牛舍F,1
24,F001-C0024,荷斯坦,4,牛舍D,1
25,F001-C0025,荷斯坦,1,牛舍E,1
26,F001-C0026,荷斯坦,3,牛舍E,1
27,F001-C0027,荷斯坦,4,牛舍B,1
28,F001-C0028,荷斯坦,3,牛舍A,1
29,F001-C0029,荷斯坦,3,牛舍D,1
30,F001-C0030,荷斯坦,2,牛舍D,1
31,F001-C0031,荷斯坦,2,牛舍A,1
32,F001-C0032,西门塔尔,3,牛舍E,1
33,F001-C0033,荷斯坦,3,牛舍A,1
34,F001-C0034,荷斯坦,2,牛舍F,1
35,F001-C0035,荷斯坦,2,牛舍B,1
36,F001-C0036,娟姗,4,牛舍C,1
37,F001-C0037,荷斯坦,3,牛舍B,1
38,F001-C0038,西门塔尔,2,牛舍E,1
39,F001-C0039,荷斯坦,2,牛舍A,1
40,F001-C0040,娟姗,4,牛舍C,1
