id,record_date,cattle_id,farm_id,milk_yield,fat_rate,protein_rate,lactation_stage
1,2025-09-05,1,1,28.8,3.89,3.16,泌乳中期
2,2025-09-15,1,1,28.2,4.0,3.19,泌乳中期
3,2025-09-25,1,1,23.5,3.85,3.16,泌乳中期
4,2025-09-05,2,1,23.6,3.91,3.31,泌乳后期
5,2025-09-15,2,1,23.6,3.77,3.26,泌乳后期
6,2025-09-25,2,1,24.4,3.83,3.27,泌乳后期
7,2025-09-05,3,1,19.3,5.35,3.93,泌乳初期
8,2025-09-15,3,1,19.3,5.3,3.83,泌乳初期
9,2025-09-25,3,1,19.7,5.33,3.93,泌乳初期
10,2025-09-05,4,1,21.4,3.84,3.14,泌乳后期
11,2025-09-15,4,1,19.6,3.91,3.28,泌乳后期
12,2025-09-25,4,1,20.1,3.99,3.31,泌乳后期
13,2025-09-05,5,1,19.5,4.08,3.35,泌乳后期
14,2025-09-15,5,1,21.3,3.93,3.36,泌乳后期
15,2025-09-25,5,1,19.5,4.06,3.37,泌乳后期
16,2025-09-05,6,1,27.2,3.85,3.17,泌乳中期
17,2025-09-15,6,1,28.3,3.67,3.23,泌乳中期
18,2025-09-25,6,1,28.7,3.95,3.33,泌乳中期
19,2025-09-05,7,1,13.3,4.6,3.55,泌乳后期
20,2025-09-15,7,1,13.2,4.29,3.62,泌乳后期
21,2025-09-25,7,1,13.3,4.46,3.56,泌乳后期
22,2025-09-05,9,1,26.4,3.75,3.27,泌乳中期
23,2025-09-15,9,1,26.7,3.91,3.27,泌乳中期
24,2025-09-25,9,1,27.7,3.83,3.21,泌乳中期
25,2025-09-05,10,1,16.6,4.51,3.48,泌乳后期
26,2025-09-15,10,1,16.0,4.45,3.61,泌乳后期
27,2025-09-25,10,1,16.2,4.28,3.44,泌乳后期
28,2025-09-05,11,1,25.3,4.05,3.38,泌乳初期
29,2025-09-15,11,1,25.5,3.94,3.22,泌乳初期
30,2025-09-25,11,1,24.9,3.92,3.25,泌乳初期
31,2025-09-05,13,1,24.9,3.92,3.26,泌乳初期
32,2025-09-15,13,1,25.8,4.08,3.24,泌乳初期
33,2025-09-25,13,1,25.0,3.93,3.25,泌乳初期
34,2025-09-05,15,1,25.8,3.91,3.29,泌乳中期
35,2025-09-15,15,1,24.1,4.08,3.3,泌乳中期
36,2025-09-25,15,1,26.9,3.98,3.17,泌乳中期
37,2025-09-05,16,1,32.5,3.58,3.25,泌乳中期
38,2025-09-15,16,1,33.5,3.75,3.31,泌乳中期
39,2025-09-25,16,1,31.0,3.93,3.18,泌乳中期
40,2025-09-05,17,1,22.5,3.95,3.31,泌乳后期
41,2025-09-15,17,1,23.4,4.2,3.21,泌乳后期
42,2025-09-25,17,1,22.9,4.01,3.31,泌乳后期
43,2025-09-05,18,1,22.1,4.02,3.41,泌乳后期
44,2025-09-15,18,1,23.8,3.9,3.27,泌乳后期
45,2025-09-25,18,1,22.9,3.99,3.18,泌乳后期
46,2025-09-05,19,1,21.9,4.17,3.22,泌乳后期
47,2025-09-15,19,1,22.2,3.88,3.27,泌乳后期
48,2025-09-25,19,1,23.1,3.89,3.27,泌乳后期
49,2025-09-05,22,1,23.4,3.77,3.21,泌乳后期
50,2025-09-15,22,1,23.7,3.96,3.16,泌乳后期
51,2025-09-25,22,1,22.8,3.93,3.34,泌乳后期
52,2025-09-05,23,1,26.9,5.23,3.94,泌乳中期
53,2025-09-15,23,1,25.5,5.47,3.77,泌乳中期
54,2025-09-25,23,1,26.3,5.16,3.69,泌乳中期
55,2025-09-05,24,1,27.0,3.87,3.35,泌乳初期
56,2025-09-15,24,1,27.6,3.85,3.19,泌乳初期
57,2025-09-25,24,1,27.1,3.95,3.22,泌乳初期
58,2025-09-05,25,1,19.2,4.13,3.25,泌乳后期
59,2025-09-15,25,1,19.3,4.13,3.26,泌乳后期
60,2025-09-25,25,1,18.5,3.89,3.38,泌乳后期
61,2025-09-05,26,1,31.2,3.83,3.17,泌乳中期
62,2025-09-15,26,1,32.1,3.76,3.27,泌乳中期
63,2025-09-25,26,1,31.9,3.61,3.27,泌乳中期
64,2025-09-05,27,1,20.5,4.03,3.23,泌乳后期
65,2025-09-15,27,1,21.4,3.94,3.31,泌乳后期
66,2025-09-25,27,1,22.4,3.91,3.36,泌乳后期
67,2025-09-05,28,1,29.2,3.68,3.33,泌乳初期
68,2025-09-15,28,1,32.5,3.84,3.21,泌乳初期
69,2025-09-25,28,1,31.5,4.03,3.19,泌乳初期
70,2025-09-05,29,1,23.5,3.98,3.31,泌乳后期
71,2025-09-15,29,1,24.2,3.98,3.37,泌乳后期
72,2025-09-25,29,1,23.2,3.79,3.27,泌乳后期
73,2025-09-05,30,1,21.1,3.85,3.34,泌乳后期
74,2025-09-15,30,1,21.7,3.93,3.31,泌乳后期
75,2025-09-25,30,1,22.0,3.82,3.29,泌乳后期
76,2025-09-05,31,1,23.1,3.86,3.23,泌乳后期
77,2025-09-15,31,1,23.0,4.05,3.33,泌乳后期
78,2025-09-25,31,1,23.0,4.05,3.28,泌乳后期
79,2025-09-05,33,1,34.7,3.74,3.15,泌乳中期
80,2025-09-15,33,1,33.5,3.65,3.15,泌乳中期
81,2025-09-25,33,1,32.4,3.75,3.26,泌乳中期
82,2025-09-05,34,1,23.3,4.1,3.14,泌乳后期
83,2025-09-15,34,1,21.5,4.26,3.28,泌乳后期
84,2025-09-25,34,1,24.1,4.05,3.42,泌乳后期
85,2025-09-05,35,1,22.3,3.95,3.26,泌乳后期
86,2025-09-15,35,1,23.1,4.07,3.31,泌乳后期
87,2025-09-25,35,1,24.5,3.88,3.41,泌乳后期
88,2025-09-05,37,1,31.7,3.87,3.13,泌乳中期
89,2025-09-15,37,1,31.3,3.52,3.1,泌乳中期
90,2025-09-25,37,1,31.6,3.82,3.03,泌乳中期
91,2025-09-05,38,1,19.6,4.38,3.45,泌乳初期
92,2025-09-15,38,1,20.4,4.37,3.47,泌乳初期
93,2025-09-25,38,1,18.7,4.08,3.44,泌乳初期
94,2025-09-05,39,1,31.0,3.7,3.38,泌乳中期
95,2025-09-15,39,1,31.6,3.81,3.24,泌乳中期
96,2025-09-25,39,1,31.0,3.97,3.28,泌乳中期
97,2025-09-05,40,1,24.6,5.2,3.89,泌乳中期
98,2025-09-15,40,1,23.9,5.11,3.94,泌乳中期
99,2025-09-25,40,1,24.1,5.55,3.76,泌乳中期
100,2025-09-05,41,1,25.3,3.85,3.26,泌乳初期
101,2025-09-15,41,1,27.3,3.65,3.26,泌乳初期
102,2025-09-25,41,1,28.2,3.88,3.34,泌乳初期
103,2025-09-05,43,1,30.2,3.88,3.32,泌乳初期
104,2025-09-15,43,1,29.0,3.77,3.15,泌乳初期
105,2025-09-25,43,1,30.0,3.69,3.3,泌乳初期
106,2025-09-05,44,1,30.3,3.73,3.17,泌乳中期
107,2025-09-15,44,1,32.4,3.77,3.26,泌乳中期
108,2025-09-25,44,1,28.9,4.13,3.22,泌乳中期
109,2025-09-05,45,1,26.3,5.3,3.78,泌乳中期
110,2025-09-15,45,1,26.3,5.26,3.73,泌乳中期
111,2025-09-25,45,1,25.3,5.2,3.73,泌乳中期
112,2025-09-05,46,1,16.6,4.56,3.65,泌乳后期
113,2025-09-15,46,1,15.8,4.3,3.49,泌乳后期
114,2025-09-25,46,1,15.9,4.46,3.58,泌乳后期
115,2025-09-05,47,1,26.8,4.05,3.25,泌乳初期
116,2025-09-15,47,1,28.9,3.87,3.31,泌乳初期
